iter	Passed	Remaining
190	16823	71257
191	16908	71157
192	17019	71163
193	17096	71030
194	17211	71050
195	17286	70909
196	17364	70779
197	17441	70645
198	17509	70476
199	17581	70324
200	17681	70285
201	17757	70152
202	17875	70179
203	17957	70071
204	18037	69948
205	18129	69875
206	18245	69895
207	18330	69796
208	18407	69666
209	18484	69538
210	18584	69492
211	18665	69379
212	18755	69299
213	18833	69173
214	18905	69025
215	18960	68819
216	19070	68811
217	19130	68622
218	19214	68521
219	19290	68394
220	19367	68267
221	19445	68146
222	19549	68115
223	19627	67995
224	19705	67873
225	19781	67747
226	19865	67649
227	20005	67738
228	20101	67677
229	20221	67698
230	20287	67538
231	20363	67411
232	20469	67380
233	20561	67309
234	20666	67274
235	20741	67145
236	20850	67126
237	20927	67002
238	21018	66925
239	21129	66910
240	21214	66811
241	21285	66670
242	21391	66640
243	21463	66500
244	21517	66310
245	21591	66179
246	21680	66093
247	21754	65964
248	21826	65831
249	21914	65744
250	22013	65690
251	22095	65584
252	22176	65478
253	22253	65360
254	22346	65287
255	22426	65176
256	22532	65142
257	22617	65047
258	22733	65039
259	22839	65005
260	22992	65100
261	23119	65123
262	23201	65017
263	23281	64904
264	23365	64805
265	23478	64787
266	23550	64652
267	23616	64505
268	23705	64419
269	23794	64332
270	23890	64265
271	23973	64164
272	24056	64063
273	24132	63941
274	24208	63821
275	24290	63717
276	24359	63580
277	24464	63537
278	24567	63487
279	24642	63365
280	24708	63221
281	24806	63161
282	24904	63097
283	24980	62980
284	25054	62857
285	25126	62728
286	25227	62672
287	25295	62534
288	25393	62472
289	25482	62387
290	25562	62280
291	25635	62156
292	25728	62081
293	25808	61976
294	25866	61815
295	25937	61689
296	26009	61563
297	26073	61420
298	26163	61340
299	26262	61279
300	26326	61137
301	26407	61034
302	26469	60887
303	26550	60787
304	26642	60709
305	26757	60684
306	26815	60531
307	26873	60378
308	26929	60222
309	27002	60102
310	27063	59957
311	27175	59925
312	27269	59852
313	27356	59767
314	27474	59745
315	27555	59645
316	27643	59560
317	27716	59442
318	27813	59375
319	27921	59332
320	27997	59222
321	28094	59156
322	28170	59044
323	28248	58938
324	28321	58822
325	28400	58717
326	28494	58645
327	28597	58590
328	28684	58502
329	28775	58422
330	28841	58293
331	28921	58191
332	29008	58104
333	29106	58037
334	29196	57956
335	29270	57845
336	29383	57807
337	29478	57736
338	29582	57681
339	29673	57600
340	29753	57500
341	29850	57432
342	29941	57352
343	30061	57327
344	30144	57231
345	30246	57171
346	30409	57225
347	30510	57162
348	30572	57027
349	30675	56968
350	30754	56865
351	30849	56790
352	30931	56693
353	31011	56592
354	31101	56508
355	31179	56403
356	31271	56324
357	31346	56213
358	31434	56126
359	31519	56034
360	31591	55919
361	31655	55790
362	31718	55660
363	31785	55536
364	31883	55469
365	31943	55334
366	32031	55247
367	32109	55144
368	32187	55041
369	32276	54956
370	32373	54886
371	32428	54745
372	32492	54619
373	32570	54516
374	32642	54403
375	32753	54357
376	32864	54309
377	32943	54208
378	33022	54107
379	33107	54017
380	33160	53875
381	33240	53776
382	33321	53679
383	33396	53573
384	33483	53486
385	33539	53350
386	33640	53286
387	33742	53223
388	33821	53123
389	33902	53027
390	33962	52897
391	34047	52808
392	34136	52725
393	34218	52630
394	34273	52494
395	34344	52384
396	34426	52290
397	34503	52189
398	34574	52078
399	34636	51954
400	34696	51828
401	34773	51727
402	34847	51623
403	34933	51535
404	35010	51435
405	35100	51354
406	35180	51257
407	35243	51138
408	35307	51018
409	35386	50921
410	35458	50815
411	35524	50699
412	35598	50595
413	35703	50537
414	35784	50442
415	35894	50390
416	35991	50319
417	36099	50262
418	36176	50162
419	36248	50058
420	36334	49971
421	36392	49845
422	36477	49758
423	36543	49643
424	36638	49569
425	36731	49492
426	36801	49385
427	36907	49325
428	36993	49238
429	37076	49148
430	37157	49054
431	37267	48999
432	37351	48911
433	37442	48830
434	37515	48727
435	37604	48644
436	37665	48525
437	37753	48441
438	37817	48327
439	37881	48213
440	37950	48105
441	38028	48008
442	38135	47948
443	38221	47863
444	38282	47745
445	38343	47628
446	38414	47523
447	38485	47419
448	38567	47328
449	38646	47234
450	38700	47109
451	38780	47016
452	38859	46922
453	38958	46853
454	39026	46746
455	39116	46665
456	39187	46561
457	39257	46457
458	39326	46351
459	39400	46252
460	39446	46121
461	39507	46006
462	39589	45917
463	39659	45813
464	39722	45702
465	39778	45583
466	39862	45495
467	39932	45393
468	39998	45286
469	40056	45170
470	40160	45105
471	40274	45052
472	40334	44938
473	40419	44853
474	40516	44780
475	40610	44706
476	40682	44605
477	40752	44503
478	40839	44420
479	40911	44320
480	40993	44232
481	41092	44161
482	41178	44077
483	41271	43999
484	41352	43910
485	41425	43812
486	41513	43729
487	41616	43662
488	41692	43567
489	41782	43487
490	41873	43408
491	41966	43331
492	42042	43236
493	42103	43125
494	42200	43053
495	42271	42953
496	42331	42842
497	42401	42741
498	42472	42642
499	42546	42546
500	42606	42436
501	42690	42350
502	42763	42253
503	42853	42173
504	42931	42081
505	43014	41994
506	43074	41884
507	43131	41772
508	43215	41687
509	43300	41602
510	43366	41499
511	43434	41398
512	43499	41294
513	43556	41183
514	43622	41081
515	43683	40974
516	43750	40873
517	43808	40763
518	43886	40673
519	43992	40608
520	44080	40527
521	44189	40464
522	44275	40381
523	44340	40278
524	44420	40190
525	44494	40095
526	44556	39991
527	44622	39889
528	44683	39784
529	44777	39708
530	44857	39620
531	44936	39531
532	45023	39448
533	45118	39372
534	45197	39284
535	45290	39206
536	45389	39134
537	45486	39061
538	45566	38972
539	45646	38884
540	45706	38778
541	45776	38682
542	45845	38584
543	45943	38511
544	46008	38411
545	46081	38316
546	46189	38251
547	46252	38149
548	46319	38050
549	46379	37946
550	46453	37853
551	46535	37767
552	46625	37688
553	46707	37602
554	46768	37499
555	46837	37402
556	46913	37311
557	46993	37224
558	47060	37126
559	47113	37017
560	47161	36905
561	47233	36812
562	47315	36726
563	47393	36637
564	47456	36537
565	47556	36465
566	47634	36377
567	47708	36285
568	47774	36187
569	47848	36096
570	47932	36012
571	47995	35912
572	48083	35832
573	48150	35735
574	48222	35642
575	48314	35564
576	48389	35474
577	48472	35390
578	48558	35307
579	48622	35209
580	48727	35141
581	48813	35058
582	48881	34963
583	48969	34882
584	49077	34815
585	49133	34711
586	49210	34623
587	49279	34528
588	49348	34434
589	49418	34341
590	49488	34248
591	49572	34165
592	49663	34085
593	49732	33992
594	49799	33897
595	49892	33819
596	49997	33750
597	50105	33682
598	50199	33606
599	50302	33534
600	50416	33471
601	50523	33402
602	50596	33311
603	50698	33239
604	50800	33167
605	50881	33081
606	50943	32983
607	51015	32891
608	51083	32797
609	51150	32702
610	51226	32613
611	51317	32534
612	51392	32445
613	51480	32363
614	51545	32268
615	51617	32176
616	51690	32086
617	51762	31995
618	51840	31908
619	51903	31811
620	51967	31716
621	52039	31625
622	52099	31527
623	52181	31442
624	52268	31361
625	52353	31278
626	52412	31180
627	52487	31091
628	52564	31003
629	52630	30910
630	52704	30820
631	52767	30725
632	52829	30629
633	52932	30557
634	52989	30458
635	53061	30368
636	53120	30271
637	53193	30181
638	53277	30098
639	53361	30016
640	53431	29925
641	53491	29828
642	53566	29740
643	53623	29643
644	53702	29557
645	53786	29474
646	53889	29402
647	53976	29320
648	54066	29240
649	54130	29147
650	54241	29078
651	54311	28988
652	54404	28910
653	54501	28834
654	54560	28738
655	54623	28643
656	54702	28558
657	54775	28469
658	54847	28380
659	54949	28307
660	55034	28225
661	55116	28141
662	55198	28057
663	55282	27974
664	55374	27895
665	55446	27806
666	55512	27714
667	55579	27623
668	55653	27535
669	55723	27445
670	55805	27362
671	55869	27269
672	55932	27176
673	56003	27087
674	56064	26994
675	56133	26904
676	56210	26818
677	56307	26741
678	56381	26654
679	56461	26570
680	56524	26477
681	56596	26389
682	56648	26292
683	56724	26206
684	56807	26123
685	56880	26035
686	56945	25944
687	57025	25860
688	57105	25776
689	57171	25685
690	57246	25599
691	57302	25504
692	57397	25427
693	57456	25333
694	57520	25242
695	57588	25153
696	57646	25059
697	57715	24971
698	57787	24884
699	57897	24813
700	57969	24726
701	58107	24666
702	58180	24579
703	58250	24491
704	58303	24396
705	58381	24311
706	58477	24234
707	58585	24162
708	58654	24074
709	58723	23985
710	58797	23899
711	58870	23812
712	58941	23725
713	59030	23645
714	59090	23553
715	59145	23459
716	59204	23367
717	59274	23280
718	59339	23191
719	59430	23111
720	59538	23039
721	59594	22946
722	59673	22862
723	59746	22776
724	59852	22702
725	59941	22622
726	60035	22544
727	60104	22456
728	60181	22371
729	60247	22283
730	60341	22204
731	60426	22123
732	60496	22036
733	60587	21956
734	60655	21869
735	60737	21786
736	60810	21700
737	60869	21609
738	60951	21526
739	61017	21438
740	61085	21351
741	61161	21266
742	61223	21177
743	61293	21090
744	61380	21009
745	61445	20920
746	61541	20843
747	61639	20766
748	61738	20689
749	61811	20603
750	61879	20516
751	61947	20429
752	62038	20349
753	62104	20262
754	62161	20171
755	62227	20083
756	62297	19997
757	62368	19911
758	62422	19820
759	62483	19731
760	62559	19647
761	62614	19556
762	62675	19468
763	62751	19383
764	62818	19297
765	62910	19218
766	62977	19131
767	63029	19040
768	63088	18951
769	63158	18865
770	63236	18782
771	63297	18693
772	63391	18615
773	63457	18528
774	63536	18445
775	63597	18358
776	63660	18270
777	63736	18187
778	63821	18106
779	63914	18027
780	64002	17946
781	64080	17863
782	64156	17780
783	64238	17698
784	64329	17619
785	64404	17535
786	64478	17450
787	64558	17368
788	64641	17286
789	64712	17202
790	64801	17122
791	64878	17038
792	64932	16949
793	65018	16868
794	65086	16783
795	65155	16698
796	65229	16614
797	65302	16530
798	65395	16451
799	65466	16366
800	65528	16279
801	65590	16193
802	65647	16105
803	65701	16016
804	65773	15932
805	65845	15848
806	65910	15763
807	65981	15678
808	66044	15592
809	66136	15513
810	66212	15430
811	66307	15352
812	66368	15265
813	66435	15180
814	66518	15099
815	66585	15014
816	66646	14928
817	66743	14850
818	66825	14768
819	66909	14687
820	66969	14601
821	67053	14519
822	67140	14439
823	67214	14356
824	67284	14272
825	67360	14189
826	67440	14107
827	67536	14029
828	67604	13945
829	67684	13863
830	67777	13783
831	67844	13699
832	67933	13619
833	68023	13539
834	68089	13454
835	68157	13370
836	68233	13288
837	68328	13209
838	68394	13124
839	68474	13042
840	68555	12961
841	68687	12889
842	68764	12806
843	68855	12726
844	68931	12644
845	68991	12558
846	69064	12475
847	69128	12390
848	69194	12306
849	69256	12221
850	69316	12136
851	69390	12053
852	69461	11970
853	69558	11891
854	69637	11809
855	69716	11728
856	69786	11644
857	69863	11562
858	69922	11477
859	69993	11394
860	70058	11310
861	70129	11227
862	70205	11145
863	70274	11061
864	70339	10977
865	70393	10892
866	70455	10808
867	70534	10726
868	70596	10642
869	70660	10558
870	70741	10477
871	70812	10394
872	70881	10311
873	70997	10235
874	71057	10151
875	71135	10069
876	71209	9987
877	71283	9904
878	71374	9825
879	71457	9744
880	71523	9660
881	71586	9577
882	71650	9493
883	71731	9412
884	71812	9331
885	71887	9249
886	71975	9169
887	72049	9087
888	72125	9005
889	72187	8921
890	72248	8838
891	72316	8755
892	72395	8674
893	72468	8592
894	72533	8509
895	72610	8428
896	72701	8348
897	72789	8267
898	72871	8186
899	72946	8105
900	73013	8022
901	73108	7943
902	73174	7860
903	73245	7778
904	73325	7697
905	73403	7615
906	73483	7534
907	73558	7453
908	73649	7373
909	73709	7289
910	73776	7207
911	73824	7123
912	73899	7041
913	73975	6960
914	74045	6878
915	74102	6795
916	74159	6712
917	74224	6630
918	74302	6549
919	74368	6466
920	74456	6386
921	74558	6307
922	74636	6226
923	74718	6145
924	74805	6065
925	74888	5984
926	74975	5904
927	75043	5822
928	75125	5741
929	75185	5659
930	75260	5577
931	75317	5495
932	75383	5413
933	75462	5332
934	75534	5251
935	75613	5170
936	75686	5088
937	75755	5007
938	75815	4925
939	75878	4843
940	75940	4761
941	76001	4679
942	76090	4599
943	76160	4518
944	76230	4436
945	76299	4355
946	76364	4273
947	76436	4192
948	76522	4112
949	76583	4030
950	76651	3949
951	76721	3868
952	76806	3787
953	76879	3706
954	76942	3625
955	76997	3543
956	77074	3463
957	77149	3382
958	77231	3301
959	77319	3221
960	77383	3140
961	77471	3060
962	77544	2979
963	77641	2899
964	77743	2819
965	77826	2739
966	77895	2658
967	77950	2576
968	78019	2495
969	78102	2415
970	78163	2334
971	78248	2254
972	78336	2173
973	78422	2093
974	78500	2012
975	78569	1932
976	78662	1851
977	78752	1771
978	78831	1690
979	78903	1610
980	78974	1529
981	79045	1448
982	79125	1368
983	79189	1287
984	79296	1207
985	79363	1126
986	79423	1046
987	79515	965
988	79607	885
989	79688	804
990	79796	724
991	79907	644
992	79980	563
993	80077	483
994	80151	402
995	80232	322
996	80331	241
997	80425	161
998	80494	80
999	80567	0
