iter	RMSE
0	0.8364549824
1	0.7273238205
2	0.6340985779
3	0.55276913
4	0.4822049528
5	0.4220434738
6	0.3707302837
7	0.3264675568
8	0.2876006358
9	0.2542561947
10	0.2256006497
11	0.2009396917
12	0.1805298816
13	0.162642481
14	0.1475042204
15	0.1348681562
16	0.1241678203
17	0.1153047724
18	0.1074058651
19	0.1011241928
20	0.0957373648
21	0.09151108633
22	0.08799553296
23	0.08489658935
24	0.08202178635
25	0.07989494772
26	0.07798872761
27	0.07633469664
28	0.075096622
29	0.07413915254
30	0.07326802487
31	0.07261220439
32	0.0719083522
33	0.07127437667
34	0.07082354613
35	0.07041959848
36	0.07002094223
37	0.06973618294
38	0.06945739814
39	0.06912974908
40	0.0689577312
41	0.06878928369
42	0.06856182063
43	0.06834487507
44	0.06814899039
45	0.06805244749
46	0.0678638827
47	0.06772282683
48	0.06758158733
49	0.06749669161
50	0.06730192772
51	0.06709294624
52	0.06697036223
53	0.06683815041
54	0.06677157772
55	0.0666244641
56	0.06646882795
57	0.06636090366
58	0.06629406136
59	0.06618366891
60	0.06607608544
61	0.06597638419
62	0.0658919824
63	0.06579945392
64	0.06570912367
65	0.06557607118
66	0.06540870031
67	0.06531977865
68	0.06527770077
69	0.06519682693
70	0.06511957984
71	0.06504015997
72	0.06495896588
73	0.06490000098
74	0.06484818218
75	0.06478133897
76	0.0647217533
77	0.06468403267
78	0.06459903537
79	0.06454071151
80	0.06445245729
81	0.06438857743
82	0.06431393302
83	0.06427162389
84	0.06420333461
85	0.06413877714
86	0.06408464327
87	0.06402439168
88	0.06392515916
89	0.06384864484
90	0.06378895206
91	0.06374241671
92	0.06369063613
93	0.06364565601
94	0.06360692608
95	0.06355493493
96	0.06351847442
97	0.06349578642
98	0.06346207873
99	0.06341033394
100	0.06336279011
101	0.0633200221
102	0.06325354458
103	0.06322012337
104	0.06311224188
105	0.06303230592
106	0.06300617966
107	0.0629501153
108	0.06289709589
109	0.06285180888
110	0.06281364485
111	0.06277635653
112	0.06273934752
113	0.06269233027
114	0.06264987823
115	0.06259763825
116	0.06257697801
117	0.06253976831
118	0.06250203613
119	0.06247077911
120	0.06243151889
121	0.06238553813
122	0.06234688208
123	0.06232247148
124	0.06227460511
125	0.06221888606
126	0.06217003679
127	0.06215346814
128	0.06211847702
129	0.062049801
130	0.06202100941
131	0.06199832659
132	0.061976605
133	0.06193530633
134	0.06191252539
135	0.06187899087
136	0.06185832004
137	0.06182683435
